Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...It.is.important.to.me.to.physically.check.out.items.before.buying.them..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...In.store.grocery.shopping.is.fun..,wfh_during,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.food.for.pick.up.delivery.from.a.restaurant..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Personal.space.is.important.to.me.when.I.travel..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.makes.me.less.disciplined.self.controlled..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Ferry.or.Water.Taxi.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.increases.family.conflicts..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.groceries.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.prefer.buying.groceries.online.rather.than.going.to.the.store..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.concerned.that.friends.or.family.will.experience.serious.health.issues.if.they.catch.the.coronavirus..,transit_usage_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.perform.better.when.I.interact.with.my.co.workers.in.person..,age,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.groceries..,education,hh_size,transit_usage_during,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.Ridehail..e.g..UberPool..Lyft.Shared..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Walk.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.bike.or.scooter..Lime..JUMP..etc...,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Everyone.should.stay.at.home.as.much.as.possible.until.the.coronavirus.has.subsided..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Even.if.I.don.t.end.up.buying.anything..I.still.enjoy.going.to.stores.and.browsing..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Solo.Ridehail..UberX..Lyft..or.Taxi.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.like.to.share.rides.with.others.if.it.saves.money..,gender,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Physical.distancing.is.an.efficient.approach.for.controlling.the.coronavirus.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Media.is.exaggerating.the.spread.of.the.coronavirus..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.try.to.use.transportation.options.that.allow.me.to.avoid.contact.with.other.people..,What.is.your.home.ZIP.code.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.miss.my.commute..,Waves,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Traveling.by.bus.or.light.rail.poses.a.risk.to.my.health..,Timestamp,Are.you.employed.in.one.of.the.following.industries.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.enjoy.social.interactions.with.my.colleagues..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.other.items.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shopping.online.is.convenient..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.can.efficiently.replace.most.of.my.in.person.work.meetings.with.online.meetings.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...My.friends.and.family.expect.me.to.stay.at.home.until.the.coronavirus.subsides..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.travel.on.a.bus.or.light.rail.if.physical.distancingÂ.measures.are.enforced..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......eat.a.meal.in.a.restaurant..,annual_hh_income,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.comfortable.sharing.a.ride.with.a.stranger..,job_status,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.other.items..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Eating.in.restaurants.is.a.fun.leisure.activity..,user_id,Have.you.had.COVID.19.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Wearing.face.covering.should.be.mandatory..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Drive.Alone.,wfh_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.don.t.mind.traveling.on.a.crowded.bus..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Carpool.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Bike.or.Scooter.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shutting.down.businesses.to.prevent.the.spread.of.the.coronavirus.is.not.worth.the.economic.damage.that.it.causes..
Disagree,Agree,Never,1-2 days a week,Strongly agree,Strongly disagree,Once a month or less,Strongly disagree,Never,Disagree,Strongly agree,Once a month or less,Strongly agree,52.0,3-4 days a week,"4-year college degree (e.g. BA, BS)","Husband/wife/partner;Children aged 18 or more;Cat or Dog;Non-household members (e.g. relatives, roommates)",Never,Never,Once a month or less,Never,Agree,Somewhat disagree,Once a month or less,Strongly disagree,Female,Agree,Disagree,Strongly agree,98074.0,Strongly disagree,W1,Strongly agree,2020/06/30 5:59:26 PM MDT,,Strongly agree,Never,Agree,Disagree,Strongly disagree,Strongly disagree,3-4 days a week,"$200,000 or more",Strongly disagree,Retired,A few times a month,Strongly agree,192269,"I don't believe so, but I haven't been tested for it.",Strongly agree,Everyday,Never,Strongly disagree,A few times a month,Never,Disagree
Strongly disagree,Somewhat disagree,Everyday,Once a month or less,Strongly agree,Strongly disagree,Never,Somewhat disagree,1-2 days a week,Strongly agree,Strongly agree,Never,Disagree,66.0,Once a month or less,"4-year college degree (e.g. BA, BS)",None of the above,Never,Never,Never,Never,Strongly agree,Strongly disagree,Never,Strongly disagree,Female,Disagree,Strongly disagree,Strongly agree,98072.0,Strongly disagree,"W1, W2P",Strongly agree,2020/06/27 5:52:12 PM MDT,"No, none of the above",Strongly agree,A few times a month,Agree,Strongly agree,Somewhat agree,Strongly disagree,Once a month or less,"$75,000 to $99,999",Strongly disagree,"Employed, Full time",Once a month or less,Strongly disagree,190045,"I don't believe so, but I haven't been tested for it.",Strongly agree,1-2 days a week,Everyday,Strongly disagree,Never,Never,Strongly disagree
Somewhat disagree,Disagree,Everyday,A few times a month,Somewhat agree,Agree,Once a month or less,Strongly disagree,Never,Somewhat disagree,Agree,A few times a month,Somewhat disagree,28.0,1-2 days a week,"4-year college degree (e.g. BA, BS)",None of the above,Never,Once a month or less,Everyday,Never,Agree,Disagree,Never,Somewhat disagree,Male,Agree,Somewhat disagree,Agree,98109.0,Strongly disagree,W1,Somewhat agree,2020/07/02 9:10:26 AM MDT,"No, none of the above",Somewhat disagree,Once a month or less,Somewhat agree,Agree,Somewhat agree,Agree,A few times a month,"$50,000 to $74,999",Somewhat disagree,"Employed, Full time",A few times a month,Disagree,192270,"I don't believe so, but I haven't been tested for it.",Strongly agree,A few times a month,Everyday,Somewhat disagree,Once a month or less,Never,Somewhat agree
Somewhat agree,Somewhat agree,Never,Once a month or less,Strongly agree,Disagree,Never,Agree,Never,Disagree,Strongly agree,Never,Agree,69.0,1-2 days a week,"Graduate degree (e.g. MS, PhD, MBA)",Husband/wife/partner,Never,Never,1-2 days a week,Never,Strongly agree,Disagree,Never,Strongly agree,Male,Strongly agree,Strongly disagree,Disagree,98005.0,Strongly disagree,W1,Agree,2020/07/08 3:23:14 AM MDT,,Strongly agree,Once a month or less,Somewhat agree,Disagree,Agree,Agree,A few times a month,"$50,000 to $74,999",Strongly disagree,Retired,A few times a month,Strongly disagree,192271,"I don't believe so, but I haven't been tested for it.",Strongly agree,3-4 days a week,Never,Strongly disagree,1-2 days a week,Never,Disagree
Agree,Strongly disagree,Everyday,3-4 days a week,Disagree,Strongly disagree,Never,Somewhat agree,Once a month or less,Strongly disagree,Agree,Everyday,Strongly disagree,40.0,1-2 days a week,2-year college degree (Associate),Husband/wife/partner;Children aged 6-11;Children aged 12-17;Cat or Dog,Once a month or less,Never,Never,Never,Agree,Strongly disagree,A few times a month,Strongly disagree,Female,Agree,Somewhat agree,Disagree,98133.0,Strongly disagree,W1,Disagree,2020/06/29 3:57:48 PM MDT,"No, none of the above",Disagree,Once a month or less,Agree,Strongly agree,Agree,Somewhat agree,1-2 days a week,"$50,000 to $74,999",Strongly disagree,"Employed, Full time",1-2 days a week,Agree,190237,"I believe so, but I haven't been tested for it.",Strongly agree,Once a month or less,Once a month or less,Somewhat agree,Never,Never,Somewhat agree
Strongly agree,Agree,Everyday,1-2 days a week,Agree,Agree,Never,Somewhat agree,Never,Somewhat disagree,Strongly agree,Once a month or less,Somewhat agree,55.0,A few times a month,Some college/technical school training,Husband/wife/partner;Cat or Dog,Never,Never,Everyday,Never,Somewhat agree,Somewhat disagree,Never,Somewhat disagree,Male,Agree,Somewhat agree,Agree,98008.0,Disagree,W1,Somewhat agree,2020/07/05 6:51:26 AM MDT,"No, none of the above",Strongly agree,A few times a month,Somewhat agree,Agree,Somewhat agree,Somewhat agree,3-4 days a week,"$75,000 to $99,999",Somewhat disagree,"Employed, Full time",1-2 days a week,Somewhat agree,192272,"I don't believe so, but I haven't been tested for it.",Agree,3-4 days a week,1-2 days a week,Strongly disagree,Once a month or less,Never,Somewhat disagree
Somewhat agree,Somewhat agree,Everyday,A few times a month,Strongly agree,Strongly disagree,Once a month or less,Somewhat disagree,A few times a month,Somewhat disagree,Strongly agree,Once a month or less,Somewhat agree,27.0,Everyday,"4-year college degree (e.g. BA, BS)",None of the above,Never,Once a month or less,Never,Never,Strongly agree,Strongly agree,Once a month or less,Strongly disagree,Male,Strongly agree,Somewhat agree,Strongly agree,98116.0,Disagree,W1,Strongly agree,2020/07/01 8:58:13 PM MDT,"No, none of the above",Strongly agree,1-2 days a week,Strongly agree,Agree,Strongly agree,Disagree,3-4 days a week,"$100,000 to $149,999",Strongly disagree,"Employed, Full time",1-2 days a week,Strongly agree,192273,"I don't believe so, but I haven't been tested for it.",Strongly agree,Everyday,1-2 days a week,Strongly disagree,Never,Once a month or less,Agree
Disagree,Somewhat disagree,Everyday,A few times a month,Agree,Somewhat agree,Once a month or less,Somewhat agree,Never,Somewhat disagree,Strongly agree,A few times a month,Somewhat agree,33.0,1-2 days a week,"Graduate degree (e.g. MS, PhD, MBA)","Cat or Dog;Non-household members (e.g. relatives, roommates)",Never,Once a month or less,A few times a month,Never,Strongly agree,Somewhat disagree,Once a month or less,Somewhat disagree,Female,Strongly agree,Strongly disagree,Strongly agree,98106.0,Somewhat disagree,W1,Agree,2020/06/27 6:02:32 AM MDT,"No, none of the above",Agree,Never,Agree,Disagree,Somewhat agree,Agree,A few times a month,"$50,000 to $74,999",Somewhat disagree,"Employed, Full time",A few times a month,Somewhat disagree,192274,"No, I have tested negative.",Strongly agree,Everyday,A few times a month,Somewhat disagree,A few times a month,A few times a month,Strongly disagree
Agree,Disagree,Never,Never,Agree,Agree,Once a month or less,Disagree,Never,Strongly disagree,Agree,Never,Agree,69.0,1-2 days a week,"Graduate degree (e.g. MS, PhD, MBA)",Husband/wife/partner,Never,Never,3-4 days a week,Never,Agree,Somewhat disagree,Never,Disagree,Female,Strongly agree,Disagree,Strongly agree,98019.0,Disagree,W1,Agree,2020/06/28 12:01:54 PM MDT,,Agree,3-4 days a week,Agree,Agree,Strongly agree,Agree,3-4 days a week,"$150,000 to $199,999",Disagree,Retired,3-4 days a week,Strongly disagree,192275,"I don't believe so, but I haven't been tested for it.",Strongly agree,Everyday,Never,Strongly disagree,Once a month or less,Never,Disagree
Somewhat agree,Somewhat agree,Everyday,A few times a month,Agree,Disagree,Once a month or less,Disagree,Once a month or less,Disagree,Disagree,Once a month or less,Agree,63.0,1-2 days a week,"Graduate degree (e.g. MS, PhD, MBA)",Husband/wife/partner,Never,Never,Everyday,Never,Agree,Disagree,1-2 days a week,Disagree,Male,Agree,Agree,Agree,98118.0,Disagree,W1,Disagree,2020/06/27 7:21:55 AM MDT,Transportation,Agree,A few times a month,Agree,Disagree,Agree,Somewhat agree,A few times a month,"$200,000 or more",Somewhat disagree,"Employed, Full time",A few times a month,Somewhat agree,192276,"I believe so, but I haven't been tested for it.",Disagree,3-4 days a week,3-4 days a week,Disagree,Never,Once a month or less,Agree
