Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.comfortable.sharing.a.ride.with.a.stranger..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.like.to.share.rides.with.others.if.it.saves.money..,hh_size,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Everyone.should.stay.at.home.as.much.as.possible.until.the.coronavirus.has.subsided..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.miss.my.commute..,transit_usage_during,education,user_id,age,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Walk.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.other.items..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.would.travel.on.a.bus.or.light.rail.if.physical.distancingÂ.measures.are.enforced..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Eating.in.restaurants.is.a.fun.leisure.activity..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.Ridehail..e.g..UberPool..Lyft.Shared..,gender,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.increases.family.conflicts..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.can.efficiently.replace.most.of.my.in.person.work.meetings.with.online.meetings.,What.is.your.home.ZIP.code.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shutting.down.businesses.to.prevent.the.spread.of.the.coronavirus.is.not.worth.the.economic.damage.that.it.causes..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Shared.bike.or.scooter..Lime..JUMP..etc...,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.don.t.mind.traveling.on.a.crowded.bus..,job_status,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.perform.better.when.I.interact.with.my.co.workers.in.person..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Physical.distancing.is.an.efficient.approach.for.controlling.the.coronavirus.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Bike.or.Scooter.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......shop.in.stores.for.groceries..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.other.items.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...In.store.grocery.shopping.is.fun..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.try.to.use.transportation.options.that.allow.me.to.avoid.contact.with.other.people..,Timestamp,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...My.friends.and.family.expect.me.to.stay.at.home.until.the.coronavirus.subsides..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Even.if.I.don.t.end.up.buying.anything..I.still.enjoy.going.to.stores.and.browsing..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.groceries.online.for.pick.up.delivery..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Traveling.by.bus.or.light.rail.poses.a.risk.to.my.health..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Ferry.or.Water.Taxi.,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......eat.a.meal.in.a.restaurant..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Drive.Alone.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Wearing.face.covering.should.be.mandatory..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Solo.Ridehail..UberX..Lyft..or.Taxi.,Have.you.had.COVID.19.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...It.is.important.to.me.to.physically.check.out.items.before.buying.them..,wfh_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Shopping.online.is.convenient..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Working.from.home.makes.me.less.disciplined.self.controlled..,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will.use.the.following.modes.of.transportation...Carpool.,annual_hh_income,Sometime.in.the.future..when.COVID.19.will.no.longer.be.a.threat..how.often.do.you.think.you.will......order.food.for.pick.up.delivery.from.a.restaurant..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Personal.space.is.important.to.me.when.I.travel..,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.enjoy.social.interactions.with.my.colleagues..,Are.you.employed.in.one.of.the.following.industries.,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.prefer.buying.groceries.online.rather.than.going.to.the.store..,Waves,transit_usage_future,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...Media.is.exaggerating.the.spread.of.the.coronavirus..,wfh_during,Please.rate.your.agreement.with.the.following.statements.under.today.s.conditions...I.m.concerned.that.friends.or.family.will.experience.serious.health.issues.if.they.catch.the.coronavirus..,annual_hh_income_avg,income_category,Low_Income,Middle_Income,High_Income,wfh_during_ord,wfh_future_ord,transit_usage_during_ord,transit_usage_future_ord,wfh_future_interval,wfh_change_estimated,transit_change_estimated,transit_usage_future_ordered
Strongly disagree,Strongly disagree,2,Agree,Strongly disagree,Never,"4-year college degree (e.g. BA, BS)",192269,52.0,Once a month or less,A few times a month,Strongly disagree,Strongly agree,Never,Female,Strongly disagree,Disagree,98074.0,Disagree,Never,Strongly disagree,Retired,Strongly agree,Agree,Never,3-4 days a week,Never,Agree,Strongly agree,2020/06/30 5:59:26 PM MDT,Strongly disagree,Somewhat disagree,Never,Strongly agree,Once a month or less,3-4 days a week,Everyday,Strongly agree,Once a month or less,"I don't believe so, but I haven't been tested for it.",Disagree,Never,Agree,Strongly disagree,A few times a month,"$200,000 or more",1-2 days a week,Strongly agree,Strongly agree,,Disagree,W1,Once a month or less,Disagree,Never,Strongly agree,200000.0,High,0,0,1,0,0,0,1,0.0,No Change,Increased Transit,Once a month or less
Strongly disagree,Strongly disagree,1,Strongly agree,Strongly disagree,Never,"4-year college degree (e.g. BA, BS)",190045,66.0,Never,Once a month or less,Strongly disagree,Strongly disagree,Never,Female,Somewhat disagree,Strongly agree,98072.0,Strongly disagree,Never,Strongly disagree,"Employed, Full time",Disagree,Disagree,Never,Once a month or less,A few times a month,Somewhat disagree,Strongly agree,2020/06/27 5:52:12 PM MDT,Somewhat agree,Strongly disagree,1-2 days a week,Strongly agree,Never,Once a month or less,1-2 days a week,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Strongly disagree,Everyday,Agree,Strongly disagree,Never,"$75,000 to $99,999",Once a month or less,Strongly agree,Strongly agree,"No, none of the above",Strongly agree,"W1, W2P",Never,Strongly disagree,Everyday,Strongly agree,87499.5,Middle,0,1,0,5,5,0,0,5.0,No Change,No Change,Never
Somewhat disagree,Somewhat disagree,1,Agree,Strongly disagree,Never,"4-year college degree (e.g. BA, BS)",192270,28.0,Everyday,A few times a month,Agree,Disagree,Once a month or less,Male,Strongly disagree,Agree,98109.0,Somewhat agree,Never,Somewhat disagree,"Employed, Full time",Somewhat disagree,Agree,Never,1-2 days a week,Once a month or less,Disagree,Agree,2020/07/02 9:10:26 AM MDT,Somewhat agree,Disagree,Never,Somewhat agree,Once a month or less,A few times a month,A few times a month,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Somewhat disagree,Everyday,Somewhat agree,Agree,Once a month or less,"$50,000 to $74,999",A few times a month,Somewhat agree,Somewhat disagree,"No, none of the above",Somewhat disagree,W1,A few times a month,Somewhat disagree,Everyday,Agree,62499.5,Middle,0,1,0,5,5,0,2,5.0,No Change,Increased Transit,A few times a month
Strongly disagree,Strongly agree,1,Strongly agree,Strongly disagree,Never,"Graduate degree (e.g. MS, PhD, MBA)",192271,69.0,1-2 days a week,A few times a month,Agree,Strongly disagree,Never,Male,Agree,Disagree,98005.0,Disagree,Never,Strongly disagree,Retired,Agree,Strongly agree,Never,1-2 days a week,Once a month or less,Somewhat agree,Disagree,2020/07/08 3:23:14 AM MDT,Agree,Disagree,Never,Agree,Never,A few times a month,3-4 days a week,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Somewhat agree,Never,Somewhat agree,Disagree,1-2 days a week,"$50,000 to $74,999",Once a month or less,Strongly agree,Strongly agree,,Disagree,W1,Never,Strongly disagree,Never,Strongly agree,62499.5,Middle,0,1,0,0,0,0,0,0.0,No Change,No Change,Never
Strongly disagree,Strongly disagree,3,Agree,Strongly disagree,Once a month or less,2-year college degree (Associate),190237,40.0,Never,1-2 days a week,Somewhat agree,Agree,Never,Female,Somewhat agree,Strongly agree,98133.0,Somewhat agree,Never,Somewhat agree,"Employed, Full time",Strongly disagree,Agree,Never,1-2 days a week,Once a month or less,Strongly disagree,Disagree,2020/06/29 3:57:48 PM MDT,Agree,Strongly disagree,Once a month or less,Disagree,Never,1-2 days a week,Once a month or less,Strongly agree,A few times a month,"I believe so, but I haven't been tested for it.",Agree,Once a month or less,Agree,Strongly disagree,Never,"$50,000 to $74,999",3-4 days a week,Disagree,Disagree,"No, none of the above",Strongly disagree,W1,Everyday,Somewhat agree,Everyday,Agree,62499.5,Middle,0,1,0,5,1,1,5,0.25,Decreased WFH,Increased Transit,Everyday
Somewhat disagree,Somewhat disagree,1,Somewhat agree,Disagree,Never,Some college/technical school training,192272,55.0,Everyday,1-2 days a week,Somewhat agree,Somewhat agree,Never,Male,Somewhat agree,Agree,98008.0,Somewhat disagree,Never,Strongly disagree,"Employed, Full time",Somewhat agree,Agree,Never,A few times a month,A few times a month,Agree,Agree,2020/07/05 6:51:26 AM MDT,Somewhat agree,Somewhat disagree,Never,Somewhat agree,Never,3-4 days a week,3-4 days a week,Agree,Never,"I don't believe so, but I haven't been tested for it.",Strongly agree,1-2 days a week,Somewhat agree,Agree,Once a month or less,"$75,000 to $99,999",1-2 days a week,Agree,Strongly agree,"No, none of the above",Somewhat disagree,W1,Once a month or less,Somewhat agree,Everyday,Strongly agree,87499.5,Middle,0,1,0,5,3,0,1,1.5,Decreased WFH,Increased Transit,Once a month or less
Strongly disagree,Strongly disagree,1,Strongly agree,Disagree,Never,"4-year college degree (e.g. BA, BS)",192273,27.0,Never,1-2 days a week,Disagree,Strongly agree,Once a month or less,Male,Somewhat disagree,Agree,98116.0,Agree,Never,Strongly disagree,"Employed, Full time",Somewhat agree,Strongly agree,Once a month or less,Everyday,1-2 days a week,Somewhat agree,Strongly agree,2020/07/01 8:58:13 PM MDT,Strongly agree,Strongly agree,A few times a month,Strongly agree,Once a month or less,3-4 days a week,Everyday,Strongly agree,Once a month or less,"I don't believe so, but I haven't been tested for it.",Somewhat agree,1-2 days a week,Strongly agree,Strongly disagree,Never,"$100,000 to $149,999",A few times a month,Strongly agree,Strongly agree,"No, none of the above",Somewhat disagree,W1,Once a month or less,Somewhat agree,Everyday,Strongly agree,124999.5,High,0,0,1,5,3,0,1,1.5,Decreased WFH,Increased Transit,Once a month or less
Somewhat disagree,Somewhat disagree,1,Strongly agree,Somewhat disagree,Never,"Graduate degree (e.g. MS, PhD, MBA)",192274,33.0,A few times a month,A few times a month,Agree,Somewhat disagree,Once a month or less,Female,Somewhat agree,Disagree,98106.0,Strongly disagree,Never,Somewhat disagree,"Employed, Full time",Somewhat agree,Strongly agree,A few times a month,1-2 days a week,Never,Somewhat disagree,Strongly agree,2020/06/27 6:02:32 AM MDT,Somewhat agree,Somewhat disagree,Never,Agree,Once a month or less,A few times a month,Everyday,Strongly agree,Once a month or less,"No, I have tested negative.",Disagree,A few times a month,Agree,Somewhat agree,A few times a month,"$50,000 to $74,999",A few times a month,Agree,Agree,"No, none of the above",Somewhat disagree,W1,A few times a month,Strongly disagree,Everyday,Strongly agree,62499.5,Middle,0,1,0,5,2,0,2,1.0,Decreased WFH,Increased Transit,A few times a month
Disagree,Disagree,1,Agree,Disagree,Never,"Graduate degree (e.g. MS, PhD, MBA)",192275,69.0,3-4 days a week,3-4 days a week,Agree,Strongly disagree,Never,Female,Disagree,Agree,98019.0,Disagree,Never,Strongly disagree,Retired,Agree,Strongly agree,Never,1-2 days a week,3-4 days a week,Disagree,Strongly agree,2020/06/28 12:01:54 PM MDT,Strongly agree,Somewhat disagree,Never,Agree,Once a month or less,3-4 days a week,Everyday,Strongly agree,Never,"I don't believe so, but I haven't been tested for it.",Agree,Never,Agree,Agree,Once a month or less,"$150,000 to $199,999",Never,Agree,Agree,,Strongly disagree,W1,Never,Disagree,Never,Agree,174999.5,High,0,0,1,0,0,0,0,0.0,No Change,No Change,Never
Somewhat disagree,Disagree,1,Agree,Disagree,Never,"Graduate degree (e.g. MS, PhD, MBA)",192276,63.0,Everyday,A few times a month,Somewhat agree,Somewhat agree,Never,Male,Disagree,Disagree,98118.0,Agree,Never,Disagree,"Employed, Full time",Agree,Agree,Once a month or less,1-2 days a week,A few times a month,Somewhat agree,Agree,2020/06/27 7:21:55 AM MDT,Agree,Disagree,Once a month or less,Disagree,Once a month or less,A few times a month,3-4 days a week,Disagree,1-2 days a week,"I believe so, but I haven't been tested for it.",Somewhat agree,3-4 days a week,Agree,Disagree,Never,"$200,000 or more",A few times a month,Agree,Agree,Transportation,Disagree,W1,Once a month or less,Agree,Everyday,Disagree,200000.0,High,0,0,1,5,4,0,1,3.5,Decreased WFH,Increased Transit,Once a month or less
